road_link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,speed,notes
1003,1,3,0817:00_0818:00,4.000,4098.000,117.000,3981.000,995.350,0.001,simulation-based
1003,1,3,0818:00_0819:00,0.000,4098.000,117.000,3981.000,3981.100,0.000,simulation-based
1003,1,3,0819:00_0820:00,2.000,4098.000,119.000,3979.000,1989.600,0.000,simulation-based
1003,1,3,0820:00_0821:00,1.000,4098.000,120.000,3978.000,3978.100,0.000,simulation-based
1003,1,3,0821:00_0822:00,1.000,4098.000,121.000,3977.000,3977.100,0.000,simulation-based
1003,1,3,0822:00_0823:00,2.000,4098.000,123.000,3975.000,1987.600,0.000,simulation-based
1003,1,3,0823:00_0824:00,1.000,4098.000,124.000,3974.000,3974.100,0.000,simulation-based
1003,1,3,0824:00_0825:00,2.000,4098.000,126.000,3972.000,1986.100,0.000,simulation-based
1003,1,3,0825:00_0826:00,0.000,4098.000,126.000,3972.000,3972.100,0.000,simulation-based
1003,1,3,0826:00_0827:00,2.000,4098.000,128.000,3970.000,1985.100,0.000,simulation-based
1003,1,3,0827:00_0828:00,0.000,4098.000,128.000,3970.000,3970.100,0.000,simulation-based
1003,1,3,0828:00_0829:00,2.000,4098.000,130.000,3968.000,1984.100,0.000,simulation-based
1003,1,3,0829:00_0830:00,0.000,4098.000,130.000,3968.000,3968.100,0.000,simulation-based
1003,1,3,0830:00_0831:00,1.000,4098.000,131.000,3967.000,3967.100,0.000,simulation-based
1003,1,3,0831:00_0832:00,3.000,4098.000,134.000,3964.000,1321.433,0.000,simulation-based
1003,1,3,0832:00_0833:00,1.000,4098.000,135.000,3963.000,3963.100,0.000,simulation-based
1003,1,3,0833:00_0834:00,3.000,4098.000,138.000,3960.000,1320.100,0.000,simulation-based
1003,1,3,0834:00_0835:00,2.000,4098.000,140.000,3958.000,1979.100,0.000,simulation-based
1003,1,3,0835:00_0836:00,0.000,4098.000,140.000,3958.000,3958.100,0.000,simulation-based
1003,1,3,0836:00_0837:00,1.000,4098.000,141.000,3957.000,3957.100,0.000,simulation-based
1003,1,3,0837:00_0838:00,1.000,4098.000,142.000,3956.000,3956.100,0.000,simulation-based
1003,1,3,0838:00_0839:00,2.000,4098.000,144.000,3954.000,1977.100,0.000,simulation-based
1003,1,3,0839:00_0840:00,0.000,4098.000,144.000,3954.000,3954.100,0.000,simulation-based
1003,1,3,0840:00_0841:00,2.000,4098.000,146.000,3952.000,1976.100,0.000,simulation-based
1003,1,3,0841:00_0842:00,0.000,4098.000,146.000,3952.000,3952.100,0.000,simulation-based
1003,1,3,0842:00_0843:00,1.000,4098.000,147.000,3951.000,3951.100,0.000,simulation-based
1003,1,3,0843:00_0844:00,2.000,4098.000,149.000,3949.000,1974.600,0.000,simulation-based
1003,1,3,0844:00_0845:00,2.000,4098.000,151.000,3947.000,1973.600,0.000,simulation-based
1003,1,3,0845:00_0846:00,3.000,4098.000,154.000,3944.000,1314.767,0.000,simulation-based
1003,1,3,0846:00_0847:00,1.000,4098.000,155.000,3943.000,3943.100,0.000,simulation-based
1003,1,3,0847:00_0848:00,2.000,4098.000,157.000,3941.000,1970.600,0.000,simulation-based
1003,1,3,0848:00_0849:00,0.000,4098.000,157.000,3941.000,3941.100,0.000,simulation-based
1003,1,3,0849:00_0850:00,3.000,4098.000,160.000,3938.000,1312.767,0.000,simulation-based
1003,1,3,0850:00_0851:00,1.000,4098.000,161.000,3937.000,3937.100,0.000,simulation-based
1003,1,3,0851:00_0852:00,1.000,4098.000,162.000,3936.000,3936.100,0.000,simulation-based
